Marque,Modèle,Prix (€),Année,Boîte,KM,Énergie,Code Postal,Département
Audi,RS6 ABT SIGNATURE JOHAN EDITION,,12/2020,"Couleur extérieure: Noir, Nombre de portes: 4/5",441 kW (600 Ch DIN),"Berline, Essence, Boîte automatique",,
Bentley,Continental GTC 6.0 W12,,06/2019,"Couleur extérieure: Noir, Nombre de portes: 2/3",467 kW (635 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Ferrari,458 Spider - Carbon - Lift - Shields,,02/2012,"Couleur extérieure: Jaune, Nombre de portes: 2/3",419 kW (570 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Aston,Martin DBS 5.2 V12 - B&O - Carbon - Lightning Silver,,03/2019,"Couleur extérieure: Gris, Nombre de portes: 2/3",533 kW (725 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,488 Spider *Lift/Carbone*,,10/2017,"Couleur extérieure: Noir, Nombre de portes: 2/3",492 kW (669 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Mercedes-Benz,G 500 short version BA3 Final Edition,,02/2012,"Couleur extérieure: Gris, Nombre de portes: 2/3",285 kW (387 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Mercedes-Benz,GLS 63 V8 4.0 Brabus 800 - Obsidian Black,,02/2023,"Couleur extérieure: Noir, Nombre de portes: 4/5",588 kW (799 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Lamborghini,Huracán LP610-4 Spyder,,06/2017,"Couleur extérieure: Noir, Nombre de portes: 2/3",449 kW (610 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,"996 GT3 RS - 20 500 kms, 2nd hand, 1 of 682",,12/2003,"Couleur extérieure: Blanc, Nombre de portes: 2/3",280 kW (381 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Bentley,Bentayga 3.0 Hybrid Odyssean Edition 1 of 70,,09/2023,"Couleur extérieure: Brun, Nombre de portes: 4/5",330 kW (449 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Hybride (essence/électricité), Boîte automatique",,
Ferrari,488 Spider 4.0 V8 670ch,,06/2016,Nombre de portes: 2/3,493 kW (670 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Bentley,Continental GT III GTC W12 6.0 635 CH BVA .,,05/2019,"Couleur extérieure: Bleu, Nombre de portes: 2/3",467 kW (635 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,911 TYPE 991 II GT3 RS 4.0I .,,08/2019,"Couleur extérieure: Vert, Nombre de portes: 2/3",382 kW (519 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,911 TYPE 992 GT3 4.0I 510 PDK avec Pack Touring,,06/2022,Nombre de portes: 2/3,375 kW (510 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
McLaren,720S Performance - Track Pack - Lift - Carbon,,04/2019,"Couleur extérieure: Rouge, Nombre de portes: 2/3",530 kW (721 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
McLaren,600LT - MSO Clubsport - Lift - Carbon,,04/2019,Couleur extérieure: Gris,,"Coupé Sport, Essence, Boîte automatique",,
Ferrari,458 Italia,,04/2011,Nombre de portes: 2/3,416 kW (566 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Bentley,Continental GT Speed - 2nd Hand - Touring,,06/2022,"Couleur extérieure: Gris, Nombre de portes: 2/3",485 kW (659 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Alfa,Romeo 8C Spider,,03/2011,"Couleur extérieure: Blanc, Nombre de portes: 2/3",331 kW (450 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,Cayman GT4 RS,,07/2023,"Couleur extérieure: Bleu, Nombre de portes: 2/3",368 kW (500 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,488 CHALLENGE 4.0 V8 670CH EVO,,06/2020,Nombre de portes: 2/3,493 kW (670 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Ferrari,488 Spider - Goldrake - Carbon - Shields - LEDS,,07/2016,"Couleur extérieure: Jaune, Nombre de portes: 2/3",492 kW (669 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Ferrari,F12 Berlinetta - Carbon - Display - Low Mileage,,12/2014,"Couleur extérieure: Gris, Nombre de portes: 2/3",545 kW (741 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,911 GT3 Touring Paket *Exclusive Manufaktur*,,12/2022,"Couleur extérieure: Vert, Nombre de portes: 2/3",375 kW (510 Ch DIN),"Coupé Sport, Essence",,
Ferrari,488 Spider - Blu Corsa - Full Carbon - Power15,,05/2017,"Couleur extérieure: Bleu, Nombre de portes: 2/3",492 kW (669 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Ferrari,488 Spider,,01/2017,"Couleur extérieure: Gris, Nombre de portes: 2/3",492 kW (669 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Ferrari,488 GTB 70 anniversaire,,08/2018,"Couleur extérieure: Bleu, Nombre de portes: 2/3",492 kW (669 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,911 TURBO S COUPE 3.8I 650 PDK .,,11/2022,"Couleur extérieure: Vert, Nombre de portes: 2/3",478 kW (650 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Audi,R8 GT V10 5.2 620 - AUDI EXCLUSIVE - 333,,08/2023,"Couleur extérieure: Prune, Nombre de portes: 2/3",456 kW (620 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,992 GT3 TOURING,,01/2024,Nombre de portes: 2/3,405 kW (551 Ch DIN),"Coupé Sport, Essence",,
Bentley,Continental GTC,,08/2019,,,"Cabriolet / Roadster, Essence",,
Porsche,911 Turbo S,,01/2021,"Couleur extérieure: Gris, Nombre de portes: 2/3",478 kW (650 Ch DIN),"Coupé Sport, Essence",,
Ferrari,488 Spider Spider,,11/2016,"Couleur extérieure: Gris, Nombre de portes: 2/3",492 kW (669 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Ferrari,488 Spider Spider,,12/2018,"Couleur extérieure: Noir, Nombre de portes: 2/3",493 kW (670 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,992 Turbo S Coupé - Exclusive Design wheels,,07/2021,"Couleur extérieure: Noir, Nombre de portes: 2/3",478 kW (650 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
McLaren,"720S Spider  - Lift - Carbon Pack 1,2,3 - B&W",,02/2019,"Couleur extérieure: Gris, Nombre de portes: 2/3",530 kW (721 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Lamborghini,Urus 4.0 V8 Autom. AKRAPOVIC RACING,,11/2021,"Couleur extérieure: Bleu, Nombre de portes: 4/5",478 kW (650 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
McLaren,"600LT Coupe - full carbon, many MSO options, PPF",,07/2019,"Couleur extérieure: Argenté, Nombre de portes: 2/3",,"Coupé Sport, Essence, Boîte automatique",,
Ferrari,ROMA V8 4.0 620CH,,02/2022,"Couleur extérieure: Gris, Nombre de portes: 2/3",456 kW (620 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,992 Turbo S*1st Hand*PDLS+*360°*Ventilated Seats,,09/2022,"Couleur extérieure: Argenté, Nombre de portes: 2/3",478 kW (650 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Aston,Martin DBX 4.0 V8 DBX707*Carbon,,05/2023,"Couleur extérieure: Noir, Nombre de portes: 4/5",520 kW (707 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Porsche,"992 GT3 Touring PDK - PTS Malachite Green, Xpel",,12/2022,"Couleur extérieure: Vert, Nombre de portes: 2/3",375 kW (510 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Bentley,Bentayga 4.0 V8 EWB Azure First Edition -Airline,,05/2023,"Couleur extérieure: Noir, Nombre de portes: 4/5",405 kW (551 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Dodge,VIPER (V) ACR 8.4 V10 - French Registered,,03/2016,"Couleur extérieure: Gris, Nombre de portes: 2/3",481 kW (654 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Porsche,997.2 GT3 RS,,11/2011,"Couleur extérieure: Blanc, Nombre de portes: 2/3",331 kW (450 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Lamborghini,Huracan EVO - Lift - Branding - Forged Wheels,,08/2019,"Couleur extérieure: Gris, Nombre de portes: 2/3",470 kW (639 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Lamborghini,Huracan EVO*Lift*Sensonum*Rear Cam.*Heated Seats,,08/2019,"Couleur extérieure: Rouge, Nombre de portes: 2/3",471 kW (640 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Lamborghini,Huracán EVO*Lift*CarPlay*Telemetry*PPF,,06/2019,"Couleur extérieure: Gris, Nombre de portes: 2/3",470 kW (639 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Bentley,Continental GTC*Centenary*Mulliner*B&O,,07/2019,"Couleur extérieure: Gris, Nombre de portes: 2/3",467 kW (635 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Ferrari,Portofino M 4.0 V8 620 CH -,,09/2022,"Couleur extérieure: Argenté, Nombre de portes: 2/3",456 kW (620 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,"992 GT3 Touring PDK - Chalk, carbon, 580 kms",,06/2022,"Couleur extérieure: Gris, Nombre de portes: 2/3",375 kW (510 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,718 Spyder RS*New*Weissach Package*Lift*PDLS,,12/2023,"Couleur extérieure: Argenté, Nombre de portes: 2/3",368 kW (500 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Lamborghini,Huracan EVO - Lift - Racing Seats - Branding,,10/2020,"Couleur extérieure: Noir, Nombre de portes: 2/3",470 kW (639 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,F360 360 MODENA V8 Challenge Stradale F1,,05/2004,Nombre de portes: 2/3,313 kW (426 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
McLaren,720S Spider,,03/2019,"Couleur extérieure: Bleu, Nombre de portes: 2/3",,"Cabriolet / Roadster, Essence",,
Porsche,992 Turbo S Cabriolet,,10/2022,"Couleur extérieure: Noir, Nombre de portes: 2/3",478 kW (650 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Ferrari,"458 Italia Spider - 12 900 kms, Atelier spec",,04/2016,"Couleur extérieure: Noir, Nombre de portes: 2/3",419 kW (570 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,992 Turbo S Cabriolet*Lift*Burmester*Servotronic,,12/2020,"Couleur extérieure: Argenté, Nombre de portes: 2/3",478 kW (650 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Aston,"Martin DBS V12 Superleggera - 14 200 kms, many options",,06/2020,"Couleur extérieure: Noir, Nombre de portes: 2/3",533 kW (725 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Bentley,Continental GT 6.0 W12 Speed,,04/2022,Couleur extérieure: Gris,485 kW (659 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Lamborghini,Huracán EVO 5.2L V10 4WD LDF7,,10/2022,"Couleur extérieure: Noir, Nombre de portes: 2/3",471 kW (640 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,296 GTB GTB DCT,,10/2022,"Couleur extérieure: Rouge, Nombre de portes: 2/3",610 kW (829 Ch DIN),"Coupé Sport, Hybride (essence/électricité), Boîte automatique",,
McLaren,600LT Spider - Full Carbon - Lift - Senna Seats,,09/2019,"Couleur extérieure: Vert, Nombre de portes: 2/3",441 kW (600 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Audi,RS6 performance ABT LEGACY EDITION,,07/2024,"Couleur extérieure: Gris, Nombre de portes: 4/5",463 kW (630 Ch DIN),"Break, Essence, Boîte automatique",,
Lamborghini,Aventador,,09/2012,"Couleur extérieure: Noir, Nombre de portes: 2/3",515 kW (700 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Land,Rover Range Rover AUTOBIOGRAPHY OVERFINCH,,01/2025,"Couleur extérieure: Noir, Nombre de portes: 4/5",390 kW (530 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Porsche,997 Speedster - Pure Blue - New Condition,,07/2011,"Couleur extérieure: Bleu, Nombre de portes: 2/3",300 kW (408 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Aston,Martin DB12 4.0 V8*Ventilated Seats*Carbon*Black Pack,,,"Couleur extérieure: Vert, Nombre de portes: 2/3",500 kW (680 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,"296 GTB - Full Carbon - Bucket - Shields - 20""",,11/2022,"Couleur extérieure: Gris, Nombre de portes: 2/3",610 kW (829 Ch DIN),"Coupé Sport, Hybride (essence/électricité), Boîte automatique",,
Lamborghini,HURACAN PERFORMANTE LP640-4*Lift*Apple Carplay,,12/2017,"Couleur extérieure: Gris, Nombre de portes: 2/3",471 kW (640 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Mercedes-Benz,MERCEDES CLASSE G63 AMG 585ch FACELIFT,,90 km,"Couleur extérieure: Vert, Nombre de portes: 4/5",430 kW (585 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Ferrari,F8 Tributo Coupé*Lift*Daytona*LedCarbon,,07/2020,"Couleur extérieure: Rouge, Nombre de portes: 2/3",530 kW (721 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Aston,Martin DBS 5.2 V12 Volante,,03/2023,"Couleur extérieure: Rouge, Nombre de portes: 2/3",533 kW (725 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Ferrari,296 GTB *1st Hand,,03/2023,Nombre de portes: 2/3,610 kW (829 Ch DIN),"Coupé Sport, Hybride (essence/électricité), Boîte automatique",,
Porsche,997 Speedster *1st PAINT* *1 of 356*,,07/2011,"Couleur extérieure: Blanc, Nombre de portes: 2/3",300 kW (408 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Ferrari,F8 Tributo 3.9 V8 BITURBO 720CH -,,08/2020,Nombre de portes: 2/3,530 kW (721 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Alfa,Romeo 8C SPIDER 4.7 V8 450,,12/2012,"Couleur extérieure: Gris, Nombre de portes: 2/3",331 kW (450 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Ferrari,296 GTB GTB DCT,,03/2023,Nombre de portes: 2/3,610 kW (829 Ch DIN),"Coupé Sport, Hybride (essence/électricité), Boîte automatique",,
Lamborghini,Huracán EVO Spyder 5.2l V10 4WD LDF7,,07/2022,"Couleur extérieure: Vert, Nombre de portes: 2/3",471 kW (640 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Mercedes-Benz,SLR 5.4,,04/2005,"Couleur extérieure: Gris, Nombre de portes: 2/3",460 kW (625 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,296 GTS 3L0 V6 830CV HYBRIDE,,11/2023,"Couleur extérieure: Rouge, Nombre de portes: 2/3",610 kW (829 Ch DIN),"Cabriolet / Roadster, Hybride (essence/électricité), Boîte automatique",,
Ferrari,296 GTB 830 *NOVITEC *VAT,,11/2022,Nombre de portes: 2/3,610 kW (829 Ch DIN),"Coupé Sport, Hybride (essence/électricité), Boîte automatique",,
Bentley,Flying Spur III Mulliner V8 Hybrid,,12/2024,"Couleur extérieure: Bleu, Nombre de portes: 4/5",574 kW (780 Ch DIN),"Berline, Hybride (essence/électricité), Boîte automatique",,
Ferrari,296 GTB 3.0 TURBO V6 HYBRIDE 830 CH -,,04/2023,Nombre de portes: 2/3,488 kW (663 Ch DIN),"Coupé Sport, Autre, Boîte manuelle",,
McLaren,675LT Spider - Full Carbon -Lift - Special Paint,,12/2017,"Couleur extérieure: Orange, Nombre de portes: 2/3",496 kW (674 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Ferrari,812 Superfast - Shields - Carbon - Display,,11/2017,"Couleur extérieure: Gris, Nombre de portes: 2/3",588 kW (799 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,"997 GT3 RS MK1 - as new, 310 kms, just serviced",,03/2007,"Couleur extérieure: Orange, Nombre de portes: 2/3",305 kW (415 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Ferrari,296 GTB 3.0 TURBO V6 HYBRIDE 830 CH,,08/2023,Nombre de portes: 2/3,488 kW (663 Ch DIN),"Coupé Sport, Autre, Boîte manuelle",,
Ferrari,F8 Tributo Coupé*Carbone+LEDs*Lift*Exhaust,,12/2021,"Couleur extérieure: Rouge, Nombre de portes: 2/3",530 kW (721 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
McLaren,Artura Spider,,09/2024,"Couleur extérieure: Gris, Nombre de portes: 2/3",515 kW (700 Ch DIN),"Cabriolet / Roadster, Hybride (essence/électricité), Boîte automatique",,
Porsche,"997 Speedster PDK - 7 200 kms, serviced, 060/356",,06/2011,"Couleur extérieure: Bleu, Nombre de portes: 2/3",300 kW (408 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Ferrari,ROMA SPIDER V8 4.0 620CH,,11/2024,"Couleur extérieure: Gris, Nombre de portes: 2/3",456 kW (620 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Ferrari,812 6.5 V12 Superfast DCT F1,,07/2019,"Couleur extérieure: Noir, Nombre de portes: 2/3",588 kW (799 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,512 -,,03/1992,"Couleur extérieure: Rouge, Nombre de portes: 2/3",324 kW (441 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Lamborghini,Huracan Performante Spyder - Lift - Branding,,10/2018,"Couleur extérieure: Gris, Nombre de portes: 2/3",470 kW (639 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
McLaren,Artura,,50 km,"Couleur extérieure: Noir, Nombre de portes: 2/3",515 kW (700 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,"993 Carrera RS - bucket seats, no airbag",,10/1995,"Couleur extérieure: Blanc, Nombre de portes: 2/3",221 kW (300 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Ferrari,812 6.5 V12 Superfast DCT F1 - carbon options,,10/2019,"Couleur extérieure: Rouge, Nombre de portes: 2/3",588 kW (799 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Lamborghini,Huracán EVO*Fluo Capsule*PPF*Lift,,10/2021,"Couleur extérieure: Orange, Nombre de portes: 2/3",471 kW (640 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
McLaren,Artura Spider,,09/2024,"Couleur extérieure: Argenté, Nombre de portes: 2/3",515 kW (700 Ch DIN),"Cabriolet / Roadster, Hybride (essence/électricité), Boîte automatique",,
Lamborghini,Urus S/DVD/Carbon/MY 24,,,"Couleur extérieure: Gris, Nombre de portes: 4/5",490 kW (666 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Ferrari,458 Speciale - Racing Stripes - Carbon Shields,,05/2014,"Couleur extérieure: Blanc, Nombre de portes: 2/3",445 kW (605 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,812 6.5 V12 Superfast DCT F1 - Rosso Dino,,04/2019,"Couleur extérieure: Rouge, Nombre de portes: 2/3",588 kW (799 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,360 Challenge Stradale - Harness - Shields,,01/2004,"Couleur extérieure: Rouge, Nombre de portes: 2/3",313 kW (426 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
McLaren,750S Spider,,10/2023,"Couleur extérieure: Argenté, Nombre de portes: 2/3",552 kW (751 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
McLaren,Artura Spider,,12/2024,"Couleur extérieure: Orange, Nombre de portes: 2/3",515 kW (700 Ch DIN),"Cabriolet / Roadster, Hybride (essence/électricité), Boîte automatique",,
McLaren,Artura Spider,,55 km,"Couleur extérieure: Noir, Nombre de portes: 2/3",515 kW (700 Ch DIN),"Cabriolet / Roadster, Hybride (essence/électricité), Boîte automatique",,
Lamborghini,Huracan -,,10/2018,"Couleur extérieure: Noir, Nombre de portes: 2/3",449 kW (610 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Lamborghini,URUS S 666*VAT*1st hand*AD PERSONAM*Akrapovic,,02/2024,"Couleur extérieure: Gris, Nombre de portes: 4/5",490 kW (666 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence, Boîte automatique",,
Mercedes-Benz,SL 63 AMG Motorsport Collectors Edition 1/100,,07/2023,Nombre de portes: 2/3,430 kW (585 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Lamborghini,Aventador S - Transparent Bonnet - Camera,,07/2017,"Couleur extérieure: Blanc, Nombre de portes: 2/3",544 kW (740 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
McLaren,750S Coupe,,02/2025,"Couleur extérieure: Vert, Nombre de portes: 2/3",,"Coupé Sport, Essence, Boîte automatique",,
McLaren,Artura Spider,,50 km,"Couleur extérieure: Bleu, Nombre de portes: 2/3",515 kW (700 Ch DIN),Cabriolet / Roadster,,
Ferrari,F8 Tributo SPIDER 3.9 V8 BITURBO 720CH,,10/2021,"Couleur extérieure: Argenté, Nombre de portes: 2/3",530 kW (721 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,991.2 Speedster*2nd Hand*PTS*Lift*BOSE*PDLS,,11/2019,"Couleur extérieure: Vert, Nombre de portes: 2/3",375 kW (510 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Ferrari,296 GTB*Lift*Full Carbone*Full ADAS*Service,,03/2023,"Couleur extérieure: Noir, Nombre de portes: 2/3",610 kW (829 Ch DIN),"Coupé Sport, Hybride (essence/électricité), Boîte automatique",,
Porsche,930,,01/1988,"Couleur extérieure: Rouge, Nombre de portes: 2/3",,Cabriolet / Roadster,,
Lamborghini,Huracán STO - Magnesium - Carbon Matt - Lift,,06/2021,"Couleur extérieure: Blanc, Nombre de portes: 2/3",471 kW (640 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Lamborghini,Huracán STO  5.2L V10 LDF7,,07/2022,"Couleur extérieure: Gris, Nombre de portes: 2/3",471 kW (640 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,"296 GTS - 1 850 kms, beautiful spec/many options",,09/2023,"Couleur extérieure: Bleu, Nombre de portes: 2/3",610 kW (829 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Porsche,991 GT2 RS Weissach Package - GT Silver,,07/2018,"Couleur extérieure: Argenté, Nombre de portes: 2/3",515 kW (700 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
McLaren,750S Coupe,,02/2025,"Couleur extérieure: Bleu, Nombre de portes: 2/3",552 kW (751 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Lamborghini,Huracán STO,,10/2021,"Couleur extérieure: Bleu, Nombre de portes: 2/3",471 kW (640 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Lamborghini,Aventador S - Transparent Bonnet - Camera - Sens,,01/2019,"Couleur extérieure: Noir, Nombre de portes: 2/3",544 kW (740 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,992 GT3 RS*1st Hand*Weissach*Lift*PDLS,,03/2024,"Couleur extérieure: Argenté, Nombre de portes: 2/3",386 kW (525 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,296 GTS - Shields - Carbon - Daytona - Lift,,07/2023,"Couleur extérieure: Vert, Nombre de portes: 2/3",,"Cabriolet / Roadster, Hybride (essence/électricité), Boîte automatique",,
Porsche,911 GT3 RS (992),,10/2023,"Couleur extérieure: Vert, Nombre de portes: 2/3",386 kW (525 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Ferrari,250,,01/1962,"Couleur extérieure: Rouge, Nombre de portes: 2/3",,"Coupé Sport, Essence, Boîte manuelle",,
Ferrari,ROMA SPIDER V8 4.0 620CH,,11/2024,"Couleur extérieure: Gris, Nombre de portes: 2/3",456 kW (620 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Ferrari,F8 Spider*Lift*Carbon LED*Racing*Display*JBL*PPF,,08/2020,"Couleur extérieure: Rouge, Nombre de portes: 2/3",530 kW (721 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Rolls-Royce,Dawn -,,06/2016,"Couleur extérieure: Blanc, Nombre de portes: 2/3",420 kW (571 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Ferrari,ROMA SPIDER V8 4.0 620CH,,04/2024,"Couleur extérieure: Bleu, Nombre de portes: 2/3",456 kW (620 Ch DIN),"Cabriolet / Roadster, Essence, Boîte automatique",,
Lamborghini,Urus PERFORMANTE CARBON BONNET & CARBON ROOF,,,Nombre de portes: 4/5,490 kW (666 Ch DIN),"SUV / Off-road Vehicle / Pickup Truck, Essence",,
Bentley,Continental GT Speed 4.0 V8 Hybrid First Edition,,12/2024,"Couleur extérieure: Prune, Nombre de portes: 2/3",575 kW (782 Ch DIN),"Coupé Sport, Hybride (essence/électricité), Boîte automatique",,
Ferrari,812 6.5 V12 Superfast DCT F1,,04/2019,"Couleur extérieure: Rouge, Nombre de portes: 2/3",588 kW (799 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Bentley,Continental GT Speed 4.0 V8 Hybrid First Edition,,50 km,"Couleur extérieure: Gris, Nombre de portes: 2/3",575 kW (782 Ch DIN),"Coupé Sport, Hybride (essence/électricité), Boîte automatique",,
McLaren,Artura Spider,,55 km,"Couleur extérieure: Orange, Nombre de portes: 2/3",515 kW (700 Ch DIN),"Cabriolet / Roadster, Hybride (essence/électricité), Boîte automatique",,
Porsche,"991 Speedster - Jet Black, only 4 600 kms",,11/2019,"Couleur extérieure: Noir, Nombre de portes: 2/3",375 kW (510 Ch DIN),"Cabriolet / Roadster, Essence, Boîte manuelle",,
Porsche,Sport Classic 3.8 550  *1 of 1250*  *FULL PPF*,,12/2022,"Couleur extérieure: Gris, Nombre de portes: 2/3",405 kW (551 Ch DIN),"Coupé Sport, Essence, Boîte manuelle",,
Ferrari,296 GTS 3.0 TURBO V6 HYBRIDE 830 CH spider,,02/2024,Nombre de portes: 2/3,488 kW (663 Ch DIN),"Cabriolet / Roadster, Autre, Boîte manuelle",,
Aston,Martin Vantage GT12 - Red Carbon Exposed - 71 of 100,,06/2016,Couleur extérieure: Noir,444 kW (604 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Porsche,992 GT3 RS - Weissach - Magnesium - Lift - PDLS+,,11/2024,"Couleur extérieure: Gris, Nombre de portes: 2/3",386 kW (525 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
Mercedes-Benz,MERCEDES AMG GT BLACK SERIES*1st Hand*Track Pack,,06/2021,"Couleur extérieure: Argenté, Nombre de portes: 4/5",537 kW (730 Ch DIN),"Coupé Sport, Essence, Boîte automatique",,
