Marque,Modèle,Année,Boîte,KM,Énergie,Code Postal,Département,Prix
Mini,one,11-2022,Boîte automatique,24936,2,72650,72,16896
Peugeot,2008,03-2022,Boîte manuelle,49317,b,83210,83,13980
Mercedes-benz,b 200,06-2017,Boîte manuelle,154358,d,57175,57,13490
Renault,clio,11-2019,Boîte manuelle,60711,d,28630,28,9290
Peugeot,308,06-2010,Boîte manuelle,156497,d,59930,59,6490
Citroen,c4,06-2016,Boîte automatique,107000,b,63170,63,7490
Lexus,ct 200h,11-2018,Boîte automatique,117000,2,59223,59,15990
Volkswagen,polo,06-2010,Boîte automatique,234090,d,44000,44,5490
Renault,clio,01-2020,Boîte manuelle,87900,d,93230,93,10900
Citroen,c4 aircross,05-2013,Boîte manuelle,176548,d,13740,13,7990
Peugeot,308,02-2022,Boîte automatique,58369,b,69300,69,16990
Renault,clio,06-2020,Boîte manuelle,83648,b,38150,38,10990
Mercedes-benz,unknown,07-2015,Boîte automatique,99700,b,67140,67,18890
Hyundai,bayon,07-2021,Boîte manuelle,44572,2,10150,10,13500
Volkswagen,tiguan,08-2018,Boîte automatique,124525,d,95520,95,18950
Peugeot,3008,01-2019,Boîte manuelle,104249,b,23000,23,12990
Dacia,duster,08-2011,Boîte manuelle,98400,d,15130,15,11990
Chevrolet,spark,12-2010,Boîte manuelle,132000,b,42100,42,2990
Renault,espace,07-2017,Boîte automatique,135490,d,67800,67,14490
Bentley,continental gt,09-2016,Boîte automatique,33500,b,98000,98,82900
Nissan,murano,10-2015,Boîte automatique,99900,b,54700,54,16490
Ford,focus,08-2019,Boîte automatique,76900,b,38660,38,14990
Mazda,cx-5,10-2018,Boîte automatique,148659,d,75002,75,15290
Seat,ibiza,08-2020,Boîte manuelle,86425,b,28630,28,11990
Peugeot,206,02-2005,Boîte manuelle,54000,b,69780,69,5500
Volkswagen,tiguan,07-2022,Boîte automatique,71900,d,93220,93,26900
Mazda,cx-5,10-2018,Boîte automatique,148659,d,75002,75,15290
Seat,ibiza,08-2020,Boîte manuelle,86425,b,28630,28,11990
Peugeot,206,02-2005,Boîte manuelle,54000,b,69780,69,5500
Volkswagen,tiguan,07-2022,Boîte automatique,71900,d,93220,93,26900
Citroen,grand c4 picasso,01-2018,Boîte manuelle,194000,d,50190,50,8490
Audi,q3,06-2020,Boîte automatique,71490,b,06510,06,29990
Mercedes-benz,a 160,09-2016,Boîte manuelle,104500,b,06200,06,12990
Mitsubishi,eclipse cross,06-2022,Boîte automatique,82070,2,23000,23,20490
Tesla,model s,03-2016,Boîte automatique,118000,e,59250,59,24990
Peugeot,5008,01-2021,Boîte automatique,123000,d,93150,93,17900
Mercedes-benz,gla 220,09-2015,Boîte automatique,186525,d,33140,33,15990
Citroen,c4,12-2012,Boîte automatique,166976,d,42700,42,5990
Citroen,c3 aircross,07-2020,Boîte manuelle,36343,b,92130,92,12590
Peugeot,208,05-2024,Boîte manuelle,7678,b,13127,13,15890
Peugeot,208,03-2018,Boîte manuelle,99000,b,63170,63,6990
Peugeot,508,05-2020,Boîte automatique,97786,d,75002,75,16150
Renault,twingo,05-2004,Boîte manuelle,118122,b,59320,59,3600
Peugeot,308,08-2015,Boîte manuelle,133000,d,06400,06,8490
Suzuki,sx4,05-2007,Boîte manuelle,69915,d,77144,77,6990
Volkswagen,touran,06-2003,Boîte manuelle,215000,d,95360,95,2990
